CustomerAlternateKey	MaritalStatus	Gender	YearlyIncome	TotalChildren	NumberChildrenAtHome	Education	Occupation	HouseOwnerFlag	NumberCarsOwned	CommuteDistance	Region	Age	BikeBuyer
AW00011042	M	F	70000.00	0	0	Partial College	Skilled Manual	1	2	0-1 Miles	North America	41	1
AW00011043	M	M	60000.00	0	0	Partial College	Skilled Manual	1	2	5-10 Miles	North America	42	0
AW00011044	M	M	20000.00	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	69	1
AW00011045	S	M	30000.00	3	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	68	0
AW00011046	M	F	30000.00	3	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	68	1
AW00011047	M	F	30000.00	3	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	68	1
AW00011048	M	M	30000.00	3	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	67	1
AW00011049	S	F	40000.00	0	0	Partial High School	Clerical	1	2	5-10 Miles	North America	38	0
AW00011050	M	M	30000.00	3	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	67	1
AW00011051	S	M	30000.00	3	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	67	0
AW00011052	S	F	40000.00	2	0	Partial College	Clerical	0	2	5-10 Miles	Pacific	67	1
AW00011053	M	F	60000.00	0	0	Partial College	Skilled Manual	0	2	1-2 Miles	North America	38	1
AW00011054	M	F	40000.00	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	66	1
AW00011055	M	M	40000.00	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	66	1
AW00011056	M	F	40000.00	3	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	65	1
AW00011057	M	M	70000.00	2	0	Graduate Degree	Management	1	2	1-2 Miles	Pacific	65	1
AW00011058	M	M	80000.00	2	0	Partial College	Skilled Manual	1	2	1-2 Miles	Pacific	64	1
AW00011059	S	F	80000.00	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	64	0
AW00011060	M	M	80000.00	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	64	1
AW00011061	M	M	80000.00	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	64	1
AW00011062	M	M	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	43	1
AW00011063	S	F	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	43	1
AW00011064	M	M	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	42	1
AW00011065	M	F	60000.00	0	0	Partial College	Skilled Manual	0	2	1-2 Miles	North America	45	0
AW00011066	M	F	70000.00	0	0	Partial College	Professional	1	2	5-10 Miles	North America	44	0
AW00011067	S	M	60000.00	0	0	Partial College	Professional	1	2	5-10 Miles	North America	42	0
AW00011068	S	F	80000.00	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	63	0
AW00011069	S	F	80000.00	2	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	63	1
AW00011070	M	M	80000.00	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	63	1
AW00011071	S	F	80000.00	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	63	0
AW00011072	S	F	80000.00	2	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	63	1
AW00011073	S	F	70000.00	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	62	0
AW00011074	S	M	70000.00	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	62	0
AW00011075	S	F	80000.00	2	0	High School	Professional	1	2	5-10 Miles	Pacific	60	1
AW00011076	S	M	80000.00	2	0	High School	Professional	1	2	5-10 Miles	Pacific	61	1
AW00011077	S	F	80000.00	2	0	High School	Professional	0	2	1-2 Miles	Pacific	61	1
AW00011078	S	F	40000.00	0	0	High School	Professional	0	2	1-2 Miles	North America	44	0
AW00011079	S	M	160000.00	0	0	Graduate Degree	Management	1	2	0-1 Miles	Pacific	59	0
AW00011080	M	M	170000.00	0	0	Graduate Degree	Management	1	2	0-1 Miles	Pacific	59	1
AW00011081	M	F	120000.00	2	2	Bachelors	Management	1	3	2-5 Miles	North America	52	0
AW00011082	S	F	130000.00	0	1	Graduate Degree	Management	0	3	1-2 Miles	North America	52	1
AW00011083	M	F	130000.00	0	1	Graduate Degree	Management	1	3	1-2 Miles	North America	52	1
AW00011084	S	M	80000.00	2	0	Partial High School	Skilled Manual	0	2	1-2 Miles	North America	61	1
AW00011085	S	F	60000.00	2	0	High School	Professional	0	2	5-10 Miles	North America	61	0
AW00011086	M	M	70000.00	2	1	Partial College	Professional	1	0	0-1 Miles	North America	60	0
AW00011087	M	F	70000.00	3	2	Partial College	Professional	0	0	0-1 Miles	North America	61	0
AW00011088	M	M	80000.00	2	1	Bachelors	Management	1	0	2-5 Miles	North America	60	1
AW00011089	S	F	80000.00	2	1	Bachelors	Management	1	1	2-5 Miles	North America	61	1
AW00011090	S	M	90000.00	2	0	Partial College	Professional	1	1	2-5 Miles	North America	60	1
AW00011091	M	M	90000.00	2	0	Partial College	Professional	1	1	5-10 Miles	North America	61	0
AW00011092	M	F	90000.00	2	2	Bachelors	Professional	1	0	1-2 Miles	Pacific	51	1
AW00011093	M	F	100000.00	0	0	Graduate Degree	Management	1	0	0-1 Miles	Pacific	51	1
AW00011094	S	M	70000.00	1	0	Partial College	Skilled Manual	0	1	0-1 Miles	Pacific	56	0
AW00011095	S	M	70000.00	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	56	1
AW00011096	M	M	60000.00	1	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	56	1
AW00011097	M	M	60000.00	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	57	1
AW00011098	S	F	60000.00	1	0	Partial College	Skilled Manual	0	1	0-1 Miles	Pacific	57	0
AW00011099	M	M	60000.00	1	0	Bachelors	Professional	1	1	0-1 Miles	Pacific	57	1
AW00011100	S	F	60000.00	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	58	1
AW00011101	S	F	70000.00	0	0	Bachelors	Professional	0	1	0-1 Miles	Pacific	53	1
AW00011102	S	F	80000.00	5	5	Bachelors	Professional	1	4	1-2 Miles	Pacific	53	0
AW00011103	S	F	70000.00	0	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	54	1
AW00011104	M	M	70000.00	0	0	Bachelors	Professional	0	1	0-1 Miles	Pacific	54	1
AW00011105	S	F	70000.00	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	53	1
AW00011106	S	M	70000.00	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	54	1
AW00011107	M	F	90000.00	1	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	59	1
AW00011108	S	F	70000.00	0	0	Bachelors	Professional	0	2	0-1 Miles	Pacific	55	1
AW00011109	S	M	70000.00	0	0	Bachelors	Professional	0	2	0-1 Miles	Pacific	55	1
AW00011110	M	M	60000.00	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	56	1
AW00011111	M	F	60000.00	1	0	Partial College	Skilled Manual	1	1	0-1 Miles	Pacific	56	1
AW00011112	M	F	60000.00	1	0	Partial College	Skilled Manual	1	1	0-1 Miles	Pacific	56	1
AW00011113	M	M	70000.00	5	4	Bachelors	Professional	1	2	5-10 Miles	Pacific	56	0
AW00011114	S	F	70000.00	5	4	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	56	0
AW00011115	M	M	70000.00	5	4	Partial College	Skilled Manual	1	2	0-1 Miles	Pacific	56	0
AW00011116	M	M	70000.00	5	4	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	56	0
AW00011117	M	F	70000.00	5	4	Partial College	Skilled Manual	1	3	10+ Miles	Pacific	57	1
AW00011118	S	M	80000.00	1	0	Partial College	Skilled Manual	0	1	0-1 Miles	Pacific	61	0
AW00011119	S	M	30000.00	2	0	Partial College	Clerical	0	2	0-1 Miles	Pacific	83	0
AW00011120	S	F	40000.00	2	0	Bachelors	Management	1	1	5-10 Miles	Pacific	82	1
AW00011121	M	M	70000.00	5	4	Partial College	Skilled Manual	1	3	10+ Miles	Pacific	57	0
AW00011122	M	M	70000.00	5	4	Partial College	Skilled Manual	1	3	5-10 Miles	Pacific	58	0
AW00011123	M	M	70000.00	5	4	Partial College	Skilled Manual	1	3	10+ Miles	Pacific	58	0
AW00011124	S	M	80000.00	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	61	1
AW00011125	S	F	70000.00	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	62	0
AW00011126	M	M	10000.00	2	1	High School	Skilled Manual	0	2	0-1 Miles	Pacific	69	1
AW00011127	M	F	40000.00	0	0	High School	Skilled Manual	1	1	5-10 Miles	North America	43	0
AW00011128	M	F	40000.00	0	0	High School	Skilled Manual	1	1	5-10 Miles	North America	42	0
AW00011129	S	F	40000.00	0	0	High School	Skilled Manual	1	1	5-10 Miles	North America	43	1
AW00011130	M	F	30000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	38	0
AW00011131	M	F	30000.00	0	0	High School	Skilled Manual	0	2	0-1 Miles	North America	38	0
AW00011132	S	F	30000.00	0	0	High School	Skilled Manual	0	2	5-10 Miles	North America	38	1
AW00011133	S	F	30000.00	0	0	Partial High School	Clerical	0	2	0-1 Miles	North America	38	0
AW00011134	S	M	10000.00	5	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	72	1
AW00011135	S	M	30000.00	0	0	Partial High School	Clerical	0	2	5-10 Miles	North America	39	1
AW00011136	S	F	40000.00	0	0	High School	Skilled Manual	0	2	0-1 Miles	North America	40	1
AW00011137	M	F	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	40	0
AW00011138	M	F	40000.00	0	0	High School	Skilled Manual	0	2	0-1 Miles	North America	40	0
AW00011139	S	F	30000.00	2	0	Partial College	Clerical	0	2	5-10 Miles	Pacific	80	0
AW00011140	S	M	30000.00	0	0	Partial High School	Clerical	0	2	5-10 Miles	North America	41	0
AW00011141	M	F	40000.00	0	0	High School	Skilled Manual	0	2	0-1 Miles	North America	41	0
AW00011142	S	M	40000.00	0	0	High School	Skilled Manual	0	2	0-1 Miles	North America	41	0
AW00011143	M	M	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	41	0
AW00011144	S	M	40000.00	0	0	High School	Skilled Manual	0	2	0-1 Miles	North America	39	1
AW00011145	S	F	40000.00	0	0	High School	Skilled Manual	0	2	0-1 Miles	North America	38	1
AW00011146	S	F	40000.00	2	0	Bachelors	Management	1	2	5-10 Miles	Pacific	79	0
AW00011147	M	M	60000.00	2	0	Graduate Degree	Management	1	1	0-1 Miles	Pacific	79	1
AW00011148	M	M	40000.00	2	0	Bachelors	Management	1	2	5-10 Miles	Pacific	77	0
AW00011149	M	M	40000.00	2	0	Bachelors	Management	1	2	0-1 Miles	Pacific	77	0
AW00011150	S	M	40000.00	2	0	Bachelors	Management	1	2	5-10 Miles	Pacific	77	0
AW00011151	S	F	60000.00	2	0	Graduate Degree	Management	0	1	0-1 Miles	Pacific	76	1
AW00011152	S	M	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	42	1
AW00011153	M	F	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	42	0
AW00011154	S	F	40000.00	0	0	Partial College	Skilled Manual	1	1	5-10 Miles	North America	42	1
AW00011155	S	M	40000.00	0	0	Partial College	Skilled Manual	0	1	1-2 Miles	North America	42	1
AW00011156	S	F	40000.00	0	0	Partial College	Skilled Manual	0	1	1-2 Miles	North America	42	1
AW00011157	M	F	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	43	0
AW00011158	S	M	40000.00	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	43	1
AW00011159	S	F	40000.00	0	0	High School	Skilled Manual	0	2	1-2 Miles	North America	43	0
AW00011160	S	M	40000.00	0	0	Partial College	Skilled Manual	0	1	5-10 Miles	North America	44	1
AW00011161	S	F	40000.00	0	0	Partial College	Skilled Manual	0	1	1-2 Miles	North America	44	0
AW00011162	S	M	40000.00	0	0	Partial College	Skilled Manual	1	1	5-10 Miles	North America	44	1
AW00011163	M	M	40000.00	0	0	Partial College	Skilled Manual	1	1	5-10 Miles	North America	43	0
AW00011164	S	M	40000.00	0	0	Partial College	Skilled Manual	0	1	1-2 Miles	North America	44	0
AW00011165	M	F	60000.00	0	0	Partial College	Skilled Manual	0	1	1-2 Miles	North America	45	0
AW00011166	S	F	70000.00	0	0	Partial College	Skilled Manual	0	2	0-1 Miles	North America	46	0
AW00011167	S	F	80000.00	0	0	Bachelors	Management	0	1	0-1 Miles	North America	46	1
AW00011168	S	M	80000.00	0	0	Bachelors	Management	0	1	0-1 Miles	North America	50	1
AW00011169	M	M	90000.00	4	4	Bachelors	Management	1	1	0-1 Miles	North America	50	0
AW00011170	M	F	90000.00	4	4	Bachelors	Management	1	1	0-1 Miles	North America	50	0
AW00011171	S	M	100000.00	1	0	Bachelors	Management	1	2	1-2 Miles	North America	51	1
AW00011172	M	F	100000.00	1	0	Bachelors	Management	1	2	1-2 Miles	North America	50	0
AW00011173	S	F	110000.00	0	0	Graduate Degree	Management	0	4	0-1 Miles	North America	51	0
AW00011174	M	M	110000.00	0	1	Graduate Degree	Management	1	0	2-5 Miles	North America	51	0
AW00011175	S	M	70000.00	0	0	Partial College	Skilled Manual	1	2	5-10 Miles	North America	55	1
AW00011176	M	M	90000.00	4	4	Bachelors	Management	1	1	1-2 Miles	North America	50	0
AW00011177	M	M	110000.00	2	4	Graduate Degree	Management	1	2	5-10 Miles	North America	76	0
AW00011178	M	M	100000.00	2	3	Graduate Degree	Management	1	3	1-2 Miles	North America	75	0
AW00011179	M	F	120000.00	2	4	Graduate Degree	Management	1	3	5-10 Miles	North America	75	0
AW00011180	M	F	160000.00	1	3	Bachelors	Management	1	4	0-1 Miles	North America	75	0
AW00011181	M	M	170000.00	2	3	Graduate Degree	Management	1	2	0-1 Miles	North America	75	0
AW00011182	S	F	70000.00	4	0	Bachelors	Management	1	2	10+ Miles	North America	74	0
AW00011183	S	F	70000.00	4	0	Bachelors	Management	1	2	10+ Miles	North America	74	0
AW00011184	S	F	70000.00	4	0	Bachelors	Management	1	2	10+ Miles	North America	73	0
AW00011185	S	F	70000.00	4	0	Bachelors	Management	1	2	10+ Miles	North America	74	0
AW00011186	S	F	70000.00	4	0	Bachelors	Management	1	2	10+ Miles	North America	74	0
AW00011187	M	F	60000.00	4	0	Graduate Degree	Management	1	2	10+ Miles	North America	74	0
AW00011188	M	F	60000.00	4	0	Graduate Degree	Management	0	2	1-2 Miles	North America	74	0
AW00011189	S	M	60000.00	4	0	Graduate Degree	Management	1	2	10+ Miles	North America	74	1
AW00011190	M	M	70000.00	5	0	Bachelors	Management	1	2	10+ Miles	North America	74	0
AW00011191	S	F	70000.00	5	0	Bachelors	Management	1	3	10+ Miles	North America	72	1
AW00011192	M	M	60000.00	4	0	Bachelors	Management	1	2	2-5 Miles	North America	73	0
AW00011193	M	M	60000.00	4	0	Bachelors	Management	1	2	2-5 Miles	North America	73	0
AW00011194	M	F	60000.00	4	0	Bachelors	Management	1	2	2-5 Miles	North America	73	0
AW00011195	M	F	60000.00	5	0	Bachelors	Management	1	3	10+ Miles	North America	72	0
AW00011196	M	M	60000.00	5	0	Bachelors	Management	1	3	10+ Miles	North America	72	0
AW00011197	M	F	70000.00	3	1	Bachelors	Management	0	1	1-2 Miles	North America	72	0
AW00011198	S	F	70000.00	4	1	Bachelors	Management	1	1	10+ Miles	North America	71	0
AW00011199	M	F	70000.00	4	1	Bachelors	Management	1	1	10+ Miles	North America	72	0
AW00011200	M	M	70000.00	4	1	Bachelors	Management	1	1	1-2 Miles	North America	70	0
AW00011201	M	F	70000.00	4	1	Bachelors	Management	1	1	10+ Miles	North America	71	0
AW00011202	M	F	80000.00	5	0	Bachelors	Management	0	2	1-2 Miles	North America	71	0
AW00011203	M	M	40000.00	2	1	High School	Professional	1	2	10+ Miles	North America	70	0
AW00011204	M	F	40000.00	2	1	High School	Professional	1	2	2-5 Miles	North America	70	0
AW00011205	M	F	40000.00	2	1	High School	Professional	1	2	10+ Miles	North America	70	0
AW00011206	M	M	60000.00	2	1	Partial College	Professional	1	1	10+ Miles	North America	70	0
AW00011207	S	F	60000.00	2	1	Partial College	Professional	1	1	10+ Miles	North America	70	0
AW00011208	M	F	60000.00	2	1	Bachelors	Management	1	0	10+ Miles	North America	70	0
AW00011209	M	F	60000.00	2	1	Bachelors	Management	1	0	10+ Miles	North America	70	0
AW00011210	M	M	70000.00	4	1	Partial College	Professional	1	2	10+ Miles	North America	70	0
AW00011211	M	F	40000.00	2	1	High School	Professional	1	2	2-5 Miles	North America	69	0
AW00011212	M	F	40000.00	2	1	High School	Professional	1	2	2-5 Miles	North America	69	0
AW00011213	S	F	60000.00	2	1	Partial College	Professional	1	2	10+ Miles	North America	69	0
AW00011214	S	M	60000.00	2	1	Partial College	Professional	1	2	10+ Miles	North America	69	0
AW00011215	M	F	40000.00	2	1	Partial High School	Skilled Manual	1	2	10+ Miles	North America	68	0
AW00011216	S	F	60000.00	2	1	Partial College	Professional	1	2	10+ Miles	North America	68	1
AW00011217	S	F	60000.00	2	1	Partial College	Professional	1	2	10+ Miles	North America	68	1
AW00011218	S	F	60000.00	2	1	Partial College	Professional	0	2	2-5 Miles	North America	68	0
AW00011219	M	M	60000.00	2	1	High School	Professional	1	2	10+ Miles	North America	67	0
AW00011220	M	F	60000.00	2	1	Partial College	Professional	1	1	10+ Miles	North America	68	0
AW00011221	M	M	70000.00	4	2	Partial College	Professional	1	1	1-2 Miles	North America	68	0
AW00011222	M	F	80000.00	3	1	Bachelors	Management	1	1	1-2 Miles	North America	68	0
AW00011223	S	F	70000.00	2	1	High School	Professional	1	2	2-5 Miles	North America	67	0
AW00011224	S	F	70000.00	2	1	High School	Professional	1	2	10+ Miles	North America	67	1
AW00011225	M	F	60000.00	2	1	Partial College	Professional	1	1	10+ Miles	North America	67	0
AW00011226	M	F	60000.00	2	1	Partial College	Professional	1	1	2-5 Miles	North America	67	0
AW00011227	S	M	60000.00	2	1	Partial College	Professional	1	2	10+ Miles	North America	67	1
AW00011228	M	F	60000.00	2	1	Partial College	Professional	1	2	10+ Miles	North America	67	0
AW00011229	S	M	70000.00	4	2	Partial College	Professional	1	1	10+ Miles	North America	66	0
AW00011230	M	F	70000.00	4	2	Partial College	Professional	0	2	2-5 Miles	North America	67	0
AW00011231	M	M	60000.00	2	1	High School	Professional	1	2	10+ Miles	North America	65	0
AW00011232	M	F	60000.00	3	1	High School	Professional	0	2	2-5 Miles	North America	66	0
AW00011233	M	M	70000.00	4	2	Partial College	Professional	1	2	10+ Miles	North America	66	0
AW00011234	S	F	70000.00	4	2	Partial College	Professional	1	2	10+ Miles	North America	65	0
AW00011235	M	M	70000.00	4	2	Partial College	Professional	1	2	10+ Miles	North America	66	0
AW00011236	S	M	70000.00	5	2	Partial College	Professional	1	2	10+ Miles	North America	66	0
AW00011237	S	M	130000.00	2	3	Bachelors	Management	0	4	0-1 Miles	Europe	60	1
AW00011238	S	F	130000.00	2	3	Bachelors	Management	0	4	0-1 Miles	Europe	60	1
AW00011239	M	F	130000.00	2	4	Partial College	Professional	0	2	5-10 Miles	Europe	60	1
AW00011240	M	F	160000.00	2	3	Partial College	Professional	1	4	5-10 Miles	Europe	59	1
AW00011241	S	F	100000.00	2	3	Partial College	Professional	1	4	5-10 Miles	Europe	61	1
AW00011242	M	M	110000.00	2	4	Partial College	Professional	1	3	5-10 Miles	Europe	61	1
AW00011243	M	F	150000.00	2	3	Partial College	Professional	1	3	0-1 Miles	Europe	61	1
AW00011244	S	F	170000.00	2	3	Bachelors	Management	0	3	0-1 Miles	Europe	60	1
AW00011245	M	M	120000.00	3	4	High School	Professional	0	4	5-10 Miles	Europe	62	1
AW00011246	M	F	120000.00	3	4	High School	Professional	0	4	5-10 Miles	Europe	62	1
AW00011247	S	F	130000.00	3	4	Partial College	Professional	0	3	0-1 Miles	Europe	62	1
AW00011248	M	M	110000.00	3	4	Partial College	Professional	1	4	10+ Miles	Europe	63	0
AW00011249	M	F	130000.00	3	4	Partial College	Professional	1	3	0-1 Miles	Europe	63	1
AW00011250	M	F	170000.00	3	4	High School	Professional	1	2	5-10 Miles	Europe	63	1
AW00011251	S	M	30000.00	4	0	High School	Professional	0	2	5-10 Miles	North America	86	1
AW00011252	S	M	90000.00	3	0	Graduate Degree	Management	1	1	2-5 Miles	North America	86	1
AW00011253	M	M	60000.00	2	0	Graduate Degree	Management	1	2	1-2 Miles	North America	85	0
AW00011254	M	M	70000.00	4	0	Graduate Degree	Management	1	2	5-10 Miles	North America	85	0
AW00011255	M	M	70000.00	4	0	Graduate Degree	Management	1	2	5-10 Miles	North America	85	0
AW00011256	M	F	70000.00	4	0	Graduate Degree	Management	1	2	5-10 Miles	North America	85	0
AW00011257	S	F	120000.00	1	2	Graduate Degree	Management	1	4	2-5 Miles	North America	85	1
AW00011258	M	M	120000.00	1	2	Graduate Degree	Management	1	4	2-5 Miles	North America	85	0
AW00011259	M	F	100000.00	4	1	Partial College	Professional	1	4	2-5 Miles	North America	53	1
AW00011260	M	F	110000.00	2	2	Bachelors	Management	1	3	2-5 Miles	North America	53	0
AW00011261	M	F	130000.00	1	2	Graduate Degree	Management	1	1	0-1 Miles	North America	53	1
AW00011262	M	F	80000.00	4	3	Bachelors	Management	1	0	0-1 Miles	North America	54	0
AW00011263	M	F	90000.00	5	5	Partial College	Professional	1	3	2-5 Miles	North America	54	1
AW00011264	S	M	90000.00	5	5	Partial College	Professional	0	3	0-1 Miles	North America	54	1
AW00011265	M	F	90000.00	5	5	Partial College	Professional	1	3	0-1 Miles	North America	54	1
AW00011266	S	F	90000.00	0	0	Partial College	Professional	0	1	5-10 Miles	North America	54	1
AW00011267	S	M	120000.00	4	2	Partial College	Professional	1	4	2-5 Miles	North America	54	1
AW00011268	M	F	130000.00	2	2	Graduate Degree	Management	1	2	1-2 Miles	North America	54	0
AW00011269	M	M	130000.00	2	2	Graduate Degree	Management	1	2	0-1 Miles	North America	54	0
AW00011270	M	M	130000.00	2	2	Graduate Degree	Management	1	3	0-1 Miles	North America	54	1
AW00011271	S	F	150000.00	2	0	Bachelors	Management	0	4	1-2 Miles	North America	54	1
AW00011272	S	F	70000.00	4	3	Partial College	Professional	1	0	5-10 Miles	North America	62	1
AW00011273	M	M	90000.00	2	1	Partial College	Professional	1	0	10+ Miles	North America	62	0
AW00011274	M	M	50000.00	2	0	Graduate Degree	Management	1	2	5-10 Miles	North America	84	1
AW00011275	M	F	80000.00	4	0	Graduate Degree	Management	1	2	0-1 Miles	North America	84	1
AW00011276	M	F	80000.00	4	3	Partial College	Professional	1	2	2-5 Miles	North America	55	0
AW00011277	M	M	80000.00	4	3	Partial College	Professional	1	2	0-1 Miles	North America	55	0
AW00011278	S	M	90000.00	0	0	Partial College	Professional	0	1	10+ Miles	North America	55	1
AW00011279	M	F	90000.00	0	0	Partial College	Professional	1	1	10+ Miles	North America	55	0
AW00011280	M	M	90000.00	0	0	Partial College	Professional	1	1	10+ Miles	North America	55	0
AW00011281	S	F	110000.00	4	2	Bachelors	Management	1	4	5-10 Miles	North America	55	1
